date,deaths,vaccines
2020/10/4,1,0
2020/10/5,0,0
2020/10/6,1,0
2020/10/7,2,0
2020/10/8,0,0
2020/10/9,0,0
2020/10/10,0,0
2020/10/11,1,0
2020/10/12,0,0
2020/10/13,1,0
2020/10/14,5,0
2020/10/15,0,0
2020/10/16,0,0
2020/10/17,0,0
2020/10/18,0,0
2020/10/19,1,0
2020/10/20,0,0
2020/10/21,0,0
2020/10/22,0,0
2020/10/23,0,0
2020/10/24,0,0
2020/10/25,0,0
2020/10/26,0,0
2020/10/27,0,0
2020/10/28,2,0
2020/10/29,0,0
2020/10/30,0,0
2020/10/31,0,0
2020/11/1,0,0
2020/11/2,0,0
2020/11/3,0,0
2020/11/4,0,0
2020/11/5,0,0
2020/11/6,0,0
2020/11/7,0,0
2020/11/8,0,0
2020/11/9,0,0
2020/11/10,0,0
2020/11/11,0,0
2020/11/12,0,0
2020/11/13,0,0
2020/11/14,0,0
2020/11/15,0,0
2020/11/16,0,0
2020/11/17,0,0
2020/11/18,0,0
2020/11/19,0,0
2020/11/20,0,0
2020/11/21,0,0
2020/11/22,0,0
2020/11/23,0,0
2020/11/24,0,0
2020/11/25,0,0
2020/11/26,0,0
2020/11/27,0,0
2020/11/28,0,0
2020/11/29,0,0
2020/11/30,1,0
2020/12/1,0,0
2020/12/2,0,0
2020/12/3,0,0
2020/12/4,0,0
2020/12/5,0,0
2020/12/6,0,0
2020/12/7,0,0
2020/12/8,0,0
2020/12/9,0,0
2020/12/10,0,0
2020/12/11,0,0
2020/12/12,0,0
2020/12/13,0,0
2020/12/14,0,0
2020/12/15,0,0
2020/12/16,0,0
2020/12/17,0,0
2020/12/18,0,0
2020/12/19,0,0
2020/12/20,0,0
2020/12/21,0,0
2020/12/22,0,0
2020/12/23,0,0
2020/12/24,0,0
2020/12/25,0,0
2020/12/26,0,0
2020/12/27,0,0
2020/12/28,1,0
2020/12/29,0,0
2020/12/30,0,0
2020/12/31,0,0
2021/1/1,0,0
2021/1/2,0,0
2021/1/3,0,0
2021/1/4,0,0
2021/1/5,0,0
2021/1/6,0,0
2021/1/7,0,0
2021/1/8,0,0
2021/1/9,0,0
2021/1/10,0,0
2021/1/11,0,0
2021/1/12,0,0
2021/1/13,0,0
2021/1/14,0,0
2021/1/15,0,0
2021/1/16,0,0
2021/1/17,0,0
2021/1/18,0,0
2021/1/19,0,0
2021/1/20,0,0
2021/1/21,0,0
2021/1/22,0,0
2021/1/23,0,0
2021/1/24,0,0
2021/1/25,0,0
2021/1/26,0,0
2021/1/27,0,0
2021/1/28,0,0
2021/1/29,0,0
2021/1/30,0,0
2021/1/31,0,0
2021/2/1,0,0
2021/2/2,0,0
2021/2/3,0,0
2021/2/4,0,0
